Subject	Trial	Event Type	Code	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
metest4	1	Picture	wait	0	0	1	60666	2	0	0	other	0
metest4	2	Picture	fix	60999	0	1	60166	2	0	60000	other	0
metest4	3	Picture	calc_vis	121332	0	1	2667	15	0	2500	other	0
metest4	4	Picture	fix	135499	0	1	11166	2	0	11000	other	0
metest4	5	Picture	calc_vis	146832	0	1	2667	2	0	2500	other	0
metest4	6	Picture	fix	161165	0	2	20167	3	0	20000	other	0
metest4	7	Picture	rest	181499	0	1	22166	3	0	22000	other	0
metest4	8	Picture	fix	203832	0	1	8167	2	0	8000	other	0
metest4	9	Picture	checkerH	212165	0	2	2167	3	0	2000	other	0
metest4	10	Picture	checker_flash	216661	0	18	2171	19	0	2000	other	0
metest4	11	Picture	checker_flash	221165	0	2	2167	3	0	2000	other	0
metest4	12	Picture	checker_flash	225658	0	18	2174	19	0	2000	other	0
metest4	13	Picture	checker_flash	230165	0	2	2167	3	0	2000	other	0
metest4	14	Picture	fix	234665	0	2	11166	22	0	11000	other	0
metest4	15	Sound	click_R	246060	61	1			0		other	0
metest4	15	Picture	fix	263499	0	1	14167	2	0	14000	other	0
metest4	16	Response	8	272231	8732	1						
metest4	16	Sound	sent_aud	277923	91	1			0		other	0
metest4	16	Response	8	278501	669	1						
metest4	17	Response	8	285761	7929	1						
metest4	18	Picture	fix	297166	0	1	8165	13	0	8000	other	0
metest4	19	Picture	btn_vis_right	305499	0	1	2667	2	0	2500	other	0
metest4	20	Picture	fix	319832	0	1	14162	21	0	14000	other	0
metest4	21	Sound	sent_aud	334221	55	1			0		other	0
metest4	22	Picture	fix	350499	0	1	8166	17	0	8000	other	0
metest4	23	Sound	click_L	358892	60	1			0		other	0
metest4	23	Picture	fix	374332	0	1	8167	2	0	8000	other	0
metest4	23	Response	4	375862	1530	12						
metest4	24	Response	4	381001	6669	1						
metest4	24	Picture	btn_vis_left	382666	0	1	2665	20	0	2500	other	0
metest4	25	Response	4	384969	2303	14						
metest4	26	Picture	fix	396999	0	1	17167	2	0	17000	other	0
metest4	27	Sound	sent_aud	414410	90	1			0		other	0
metest4	28	Picture	fix	431499	0	1	11157	16	0	11000	other	0
metest4	29	Picture	checkerV	442832	0	1	2167	2	0	2000	other	0
metest4	30	Picture	checker_flash	447332	0	1	2167	2	0	2000	other	0
metest4	31	Picture	checker_flash	451832	0	1	2167	2	0	2000	other	0
metest4	32	Picture	checker_flash	456332	0	1	2167	2	0	2000	other	0
metest4	33	Picture	checker_flash	460832	0	2	2167	3	0	2000	other	0
metest4	34	Picture	fix	465332	0	1	8167	2	0	8000	other	0
metest4	35	Sound	calc_aud	473722	56	1			0		other	0
metest4	36	Picture	fix	486665	0	17	14167	18	0	14000	other	0
metest4	37	Picture	sent_vis	500999	0	1	2667	2	0	2500	other	0
metest4	38	Picture	fix	515332	0	1	14167	2	0	14000	other	0
metest4	39	Picture	sent_vis	529658	0	15	2674	16	0	2500	other	0
metest4	40	Picture	fix	543999	0	1	17167	2	0	17000	other	0
metest4	41	Sound	calc_aud	561416	84	1			0		other	0
metest4	42	Picture	fix	574166	0	1	11166	3	0	11000	other	0
metest4	43	Sound	calc_aud	585577	78	1			0		other	0
metest4	44	Picture	fix	597332	0	1	5167	2	0	5000	other	0
metest4	45	Picture	rest	602666	0	1	22157	21	0	22000	other	0
metest4	46	Picture	fix	624999	0	1	8167	2	0	8000	other	0
metest4	47	Picture	rest	633332	0	1	22167	2	0	22000	other	0
metest4	48	Picture	fix	655666	0	1	5166	2	0	5000	other	0
metest4	49	Picture	sent_vis	660999	0	1	2667	2	0	2500	other	0
metest4	50	Picture	fix	675332	0	2	20167	3	0	20000	other	0
metest4	51	Picture	checkerH	695666	0	1	2166	3	0	2000	other	0
metest4	52	Picture	checker_flash	700166	0	1	2166	3	0	2000	other	0
metest4	53	Picture	checker_flash	704666	0	1	2166	3	0	2000	other	0
metest4	54	Picture	checker_flash	709166	0	1	2166	3	0	2000	other	0
metest4	55	Picture	checker_flash	713666	0	1	2166	3	0	2000	other	0
metest4	56	Picture	fix	718166	0	1	11166	3	0	11000	other	0
metest4	57	Sound	click_L	729576	82	1			0		other	0
metest4	57	Picture	fix	744999	0	1	14167	2	0	14000	other	0
metest4	57	Response	4	745059	60	4						
metest4	57	Response	4	750610	5611	13						
metest4	58	Response	4	757500	12501	1						
metest4	59	Picture	rest	759333	0	1	22152	17	0	22000	other	0
metest4	60	Picture	fix	781666	0	1	8167	2	0	8000	other	0
metest4	61	Picture	btn_vis_right	789999	0	1	2667	2	0	2500	other	0
metest4	61	Picture	fix	804161	0	16	11172	17	0	11000	other	0
metest4	61	Response	8	809784	5623	9						
metest4	62	Response	8	814629	10468	1						
metest4	62	Picture	btn_vis_left	815499	0	1	2667	2	0	2500	other	0
metest4	63	Response	8	819140	3641	1						
metest4	63	Picture	fix	829833	0	1	23162	18	0	23000	other	0
metest4	63	Response	4	833766	3933	7						
metest4	63	Response	4	838228	8395	4						
metest4	64	Response	4	842240	12407	1						
metest4	65	Picture	sent_vis	853166	0	1	2659	20	0	2500	other	0
metest4	66	Picture	fix	867499	0	1	17167	2	0	17000	other	0
metest4	67	Picture	rest	884813	0	22	22020	23	0	22000	other	0
metest4	68	Picture	fix	906999	0	1	2167	2	0	2000	other	0
metest4	69	Picture	rest	909333	0	1	22166	2	0	22000	other	0
